URL, StatusCode 
https://www.reuters.com/finance/stocks/overview/FMEG.DE,200
https://www.reuters.com/finance/stocks/overview/BAKK.L,200
https://www.reuters.com/finance/stocks/GVI.PA/key-developments/article/3976192,301
https://www.reuters.com/video/2019/02/14/iranian-hijab-protester-did-it-for-her-d?channelName=Reuters%2BNow&videoChannel=118262&videoId=514817680,200
https://www.reuters.com/article/britain-stocks/strong-sterling-weighs-on-ftse-100-as-earnings-flow-in-merlin-stumbles-idUSL8N1WW2AW,200
https://www.reuters.com/article/us-equinor-exploration/equinor-drills-dry-well-in-norwegian-arctic-regulator-idUSKCN1Q10SP,200
https://www.reuters.com/article/us-usa-mexico-el-chapo-jurors-idUSKCN1Q2316,200
https://www.reuters.com/video/2019/01/15/singapore-works-on-solutions-for-future?videoId=503830820,200
https://www.reuters.com/finance/stocks/overview/603696.SS,200
https://www.reuters.com/finance/stocks/companyNews?symbol=ICBK.BO,301
https://www.reuters.com/article/us-aerospace-defense-faa/industry-worries-about-impact-of-budget-cuts-on-faa-towers-idUSBRE98417620130905,200
https://www.reuters.com/finance/stocks/officer-profile/BATS.L/1387425,200
https://www.reuters.com/finance/stocks/overview/SSNC.OQ,200
http://www.reuters.com/investigates/special-report/china-softpower-rights/,301
https://www.reuters.com/video/2019/02/11/iranians-celebrate-40th-anniversary-of-i?channelName=Iran&videoChannel=-10209&videoId=513852740,200
https://www.reuters.com/finance/stocks/officer-profile/BATS.L/602334,200
https://www.reuters.com/finance/stocks/officer-profile/BATS.L/2576230,200
https://www.reuters.com/finance/stocks/chart?symbol=USAT.OQ,301
https://www.reuters.com/sectors/industries/significant?categoryId=232&industryCode=158,200
https://www.reuters.com/journalists/gabriella-borter,200
https://www.reuters.com/finance/markets/index/.TRXFLDLAPU,200
http://www.reuters.com/investigates/special-report/usa-coal-hobet/,301
https://www.reuters.com/finance/stocks/overview?symbol=PRT.N,301
https://www.reuters.com/article/us-ams-results-idUSKCN1PU0I7,200
https://www.reuters.com/video/2019/02/01/eu-creates-work-around-for-us-iran-sanct?channelName=Iran&videoChannel=-10209&videoId=509860814,200
http://www.reuters.com/investigates/special-report/usa-buybacks-pay/,301
http://www.reuters.com/article/us-college-sat-usa-idUSKCN0XH1PJ,301
http://www.reuters.com/article/2014/11/16/us-hamm-divorce-ruling-insight-idUSKCN0J00J020141116,301
https://www.reuters.com/finance/stocks/overview?symbol=BDEV.L,301
https://www.reuters.com/finance/stocks/chart/TNET.N,200
https://www.reuters.com/article/us-vedanta-smelter/india-court-panel-extends-hearing-on-vedanta-smelter-case-idUSKBN1O60ZD,200
https://www.reuters.com/investigates/special-report/assets/section-leads/usa-military/usa-military-contractors/home_usa-military-contractors-lead.jpg?v=113217070219,200
https://www.reuters.com/finance/stocks/chart/BDEV.L,200
https://www.reuters.com/finance/stocks/overview?symbol=SEPJ.J,301
https://www.reuters.com/sectors/industries/significant?categoryId=232&industryCode=164,200
https://www.reuters.com/article/us-vedanta-smelter/indias-green-court-to-issue-judgment-on-vedanta-smelter-next-week-idUSKBN1O915T,200
https://www.reuters.com/journalists/tim-hepher,200
https://www.reuters.com/finance/stocks/financial-highlights/ZBRA.OQ,200
https://www.reuters.com/finance/stocks/companyNews?symbol=WG.L,301
https://www.reuters.com/article/uk-sailing-thomson/sailing-thomson-targets-vendee-volvo-double-as-he-builds-new-total-machine-idUKKBN1KZ1FU,200
https://www.reuters.com/journalists/tom-daly,200
https://www.reuters.com/journalists/manoj-kumar,200
