19/03/16 18:48:12 INFO client.RMProxy: Connecting to ResourceManager at cluster-a652-m/10.138.0.5:8032
19/03/16 18:48:13 INFO client.AHSProxy: Connecting to Application History server at cluster-a652-m/10.138.0.5:10200
19/03/16 18:48:14 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
19/03/16 18:48:15 INFO input.FileInputFormat: Total input files to process : 74
19/03/16 18:48:15 INFO mapreduce.JobSubmitter: number of splits:74
19/03/16 18:48:15 INFO Configuration.deprecation: yarn.resourcemanager.system-metrics-publisher.enabled is deprecated. Instead, use yarn.system-metrics-publisher.enabled
19/03/16 18:48:15 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1552712881446_0002
19/03/16 18:48:15 INFO impl.YarnClientImpl: Submitted application application_1552712881446_0002
19/03/16 18:48:15 INFO mapreduce.Job: The url to track the job: http://cluster-a652-m:8088/proxy/application_1552712881446_0002/
19/03/16 18:48:15 INFO mapreduce.Job: Running job: job_1552712881446_0002
19/03/16 18:56:12 INFO mapreduce.Job:  map 86% reduce 0%
19/03/16 18:56:23 INFO mapreduce.Job:  map 87% reduce 0%
19/03/16 18:56:24 INFO mapreduce.Job:  map 88% reduce 0%
19/03/16 18:56:26 INFO mapreduce.Job:  map 89% reduce 0%
19/03/16 18:56:29 INFO mapreduce.Job:  map 90% reduce 0%
19/03/16 18:56:32 INFO mapreduce.Job:  map 92% reduce 0%
19/03/16 18:56:40 INFO mapreduce.Job:  map 93% reduce 0%
19/03/16 18:56:42 INFO mapreduce.Job:  map 94% reduce 0%
19/03/16 18:56:55 INFO mapreduce.Job:  map 95% reduce 0%
19/03/16 18:56:57 INFO mapreduce.Job:  map 96% reduce 0%
19/03/16 18:56:59 INFO mapreduce.Job:  map 97% reduce 0%
19/03/16 18:57:04 INFO mapreduce.Job:  map 98% reduce 0%
19/03/16 18:57:10 INFO mapreduce.Job:  map 100% reduce 0%
19/03/16 18:57:20 INFO mapreduce.Job:  map 100% reduce 6%
19/03/16 18:57:23 INFO mapreduce.Job:  map 100% reduce 9%
19/03/16 18:57:24 INFO mapreduce.Job:  map 100% reduce 17%
19/03/16 18:57:25 INFO mapreduce.Job:  map 100% reduce 20%
19/03/16 18:57:31 INFO mapreduce.Job:  map 100% reduce 28%
19/03/16 18:57:50 INFO mapreduce.Job:  map 100% reduce 29%
19/03/16 18:57:55 INFO mapreduce.Job:  map 100% reduce 32%
